timestamp,set_number,rep_number
2025-11-12 16:34:09,1,1
2025-11-12 16:34:11,1,2
2025-11-12 16:34:15,1,3
2025-11-12 16:34:18,1,4
2025-11-12 16:34:21,1,5
2025-11-12 16:34:24,1,6
2025-11-12 16:34:27,1,7
2025-11-12 16:34:30,1,8
2025-11-12 16:34:33,1,9
2025-11-12 16:34:36,1,10
2025-11-12 16:35:13,2,1
2025-11-12 16:35:16,2,2
2025-11-12 16:35:19,2,3
2025-11-12 16:35:22,2,4
2025-11-12 16:35:26,2,5
2025-11-12 16:35:29,2,6
2025-11-12 16:35:32,2,7
2025-11-12 16:35:35,2,8
2025-11-12 16:35:38,2,9
2025-11-12 16:35:42,2,10
2025-11-12 16:36:19,3,1
2025-11-12 16:36:23,3,2
2025-11-12 16:36:26,3,3
2025-11-12 16:36:28,3,4
2025-11-12 16:36:32,3,5
2025-11-12 16:36:35,3,6
2025-11-12 16:36:39,3,7
2025-11-12 16:36:42,3,8
2025-11-12 16:36:46,3,9
2025-11-12 16:36:50,3,10
2025-11-12 16:37:26,4,1
2025-11-12 16:37:28,4,2
2025-11-12 16:37:31,4,3
2025-11-12 16:37:35,4,4
2025-11-12 16:37:38,4,5
2025-11-12 16:37:42,4,6
2025-11-12 16:37:45,4,7
2025-11-12 16:37:48,4,8
2025-11-12 16:37:52,4,9
2025-11-12 16:37:55,4,10
2025-11-12 16:38:31,5,1
2025-11-12 16:38:33,5,2
2025-11-12 16:38:37,5,3
2025-11-12 16:38:41,5,4
2025-11-12 16:38:44,5,5
2025-11-12 16:38:48,5,6
2025-11-12 16:38:52,5,7
2025-11-12 16:38:55,5,8
2025-11-12 16:38:58,5,9
2025-11-12 16:38:59,5,10
2025-11-12 16:39:35,6,1
2025-11-12 16:39:38,6,2
2025-11-12 16:39:41,6,3
2025-11-12 16:39:45,6,4
2025-11-12 16:39:48,6,5
2025-11-12 16:39:51,6,6
2025-11-12 16:39:54,6,7
2025-11-12 16:39:58,6,8
2025-11-12 16:40:01,6,9
2025-11-12 16:40:05,6,10
2025-11-12 16:40:41,7,1
2025-11-12 16:40:44,7,2
2025-11-12 16:40:48,7,3
2025-11-12 16:40:51,7,4
2025-11-12 16:40:55,7,5
2025-11-12 16:40:58,7,6
2025-11-12 16:41:01,7,7
2025-11-12 16:41:05,7,8
2025-11-12 16:41:08,7,9
2025-11-12 16:41:12,7,10
2025-11-12 16:41:46,8,1
2025-11-12 16:41:48,8,2
2025-11-12 16:41:51,8,3
2025-11-12 16:41:55,8,4
2025-11-12 16:41:58,8,5
2025-11-12 16:42:01,8,6
2025-11-12 16:42:05,8,7
2025-11-12 16:42:08,8,8
2025-11-12 16:42:09,8,9
2025-11-12 16:42:15,8,10
2025-11-12 16:42:51,9,1
2025-11-12 16:42:54,9,2
2025-11-12 16:42:57,9,3
2025-11-12 16:43:01,9,4
2025-11-12 16:43:04,9,5
2025-11-12 16:43:08,9,6
2025-11-12 16:43:11,9,7
2025-11-12 16:43:15,9,8
2025-11-12 16:43:19,9,9
2025-11-12 16:43:22,9,10
2025-11-12 16:43:57,10,1
2025-11-12 16:44:00,10,2
2025-11-12 16:44:04,10,3
2025-11-12 16:44:07,10,4
2025-11-12 16:44:10,10,5
2025-11-12 16:44:14,10,6
2025-11-12 16:44:18,10,7
2025-11-12 16:44:21,10,8
2025-11-12 16:44:25,10,9
2025-11-12 16:44:29,10,10
2025-11-12 16:45:42,11,1
2025-11-12 16:45:46,11,2
2025-11-12 16:45:50,11,3
2025-11-12 16:45:54,11,4
2025-11-12 16:45:58,11,5
2025-11-12 16:46:01,11,6
2025-11-12 16:46:05,11,7
2025-11-12 16:46:09,11,8
2025-11-12 16:46:12,11,9
2025-11-12 16:46:16,11,10
2025-11-12 16:46:51,12,1
2025-11-12 16:46:55,12,2
2025-11-12 16:46:59,12,3
2025-11-12 16:47:03,12,4
2025-11-12 16:47:06,12,5
2025-11-12 16:47:10,12,6
2025-11-12 16:47:14,12,7
2025-11-12 16:47:17,12,8
2025-11-12 16:47:21,12,9
2025-11-12 16:47:25,12,10
2025-11-12 16:47:57,13,1
2025-11-12 16:48:01,13,2
2025-11-12 16:48:05,13,3
2025-11-12 16:48:08,13,4
2025-11-12 16:48:12,13,5
2025-11-12 16:48:15,13,6
2025-11-12 16:48:19,13,7
2025-11-12 16:48:23,13,8
2025-11-12 16:48:26,13,9
2025-11-12 16:48:30,13,10
2025-11-12 16:49:13,14,1
2025-11-12 16:49:16,14,2
2025-11-12 16:49:20,14,3
