Feature,Mean (Early Fatigue),Mean (Late Fatigue),Cohen's d,Correlation (Fatigue),p-value,Significant (p<0.05)
sample_entropy,0.387531261814419,0.2789498786872279,0.5883724574456033,0.22426673704218272,2.748674109028899e-10,True
mav,1257.5152824482236,499.47042112500003,2.3859356772017337,-0.4176384724136838,4.655051272626487e-09,True
std,1391.1856504318182,755.6110257602463,2.2168541907975423,-0.3935639426387881,3.9109202854528085e-08,True
rms,1391.1856504318182,755.6110257602464,2.216854190797542,-0.3935639426387881,3.9109202854528396e-08,True
ssc,752.6666666666666,1100.25,-1.919373398797323,0.3008443934756611,7.718845000350398e-05,True
wl,414149.19444444444,208325.125,1.5554415298338125,-0.0834140567149489,0.0008712078717261268,True
median_freq,16.75075954861111,22.8271484375,-0.5451110018174161,0.32732012267297306,0.004506308877015691,True
zc,127.13888888888889,145.125,-0.42414581300264387,0.22688295429693256,0.04795261715397288,True
spectral_entropy,5.188191329096625,5.617982729372434,-0.7459732009041387,0.2545670710606459,0.06626823833911506,False
mean_freq,38.61905458814685,51.33427393885918,-0.6416250113836838,0.20863034417699428,0.09489907503888273,False
fractal_dim,0.31226555835831604,0.3894538755418442,-0.638561563684131,0.06594008020640332,0.22697405968222237,False
mean,-2.2316084592302282e-15,-1.1368683772161604e-14,0.06487652696432951,-0.0299742135993592,0.9870326812313127,False
