time_ms, emg_value
1762113741463,54
1762113741463,78
1762113741463,70
1762113741463,65
1762113741589,69
1762113741589,99
1762113741589,68
1762113741589,112
1762113741625,108
1762113741625,87
1762113741625,82
1762113741625,80
1762113741676,64
1762113741676,80
1762113741676,74
1762113741676,64
1762113741713,48
1762113741713,52
1762113741713,48
1762113741713,48
1762113741759,40
1762113741759,62
1762113741759,59
1762113741759,51
1762113741812,45
1762113741812,48
1762113741812,41
1762113741812,42
1762113741856,78
1762113741856,51
1762113741856,53
1762113741856,48
1762113741910,55
1762113741910,48
1762113741910,39
1762113741910,43
1762113741968,48
1762113741968,43
1762113741968,43
1762113741968,51
1762113742008,54
1762113742008,38
1762113742008,32
1762113742008,67
1762113742062,62
1762113742062,50
1762113742062,36
1762113742062,38
1762113742115,52
1762113742115,52
1762113742115,53
1762113742115,57
1762113742151,51
1762113742151,54
1762113742151,42
1762113742151,64
1762113742209,89
1762113742209,80
1762113742209,63
1762113742209,53
1762113742254,51
1762113742254,48
1762113742254,64
1762113742254,64
1762113742297,64
1762113742297,51
1762113742297,42
1762113742297,42
1762113742359,92
1762113742359,112
1762113742359,121
1762113742359,93
1762113742403,80
1762113742403,58
1762113742403,64
1762113742403,55
1762113742453,80
1762113742453,75
1762113742453,60
1762113742453,59
1762113742500,65
1762113742500,51
1762113742500,44
1762113742500,42
1762113742546,50
1762113742546,32
1762113742546,42
1762113742546,21
1762113742582,15
1762113742582,25
1762113742582,41
1762113742582,32
1762113742622,16
1762113742622,23
1762113742622,16
1762113742622,16
1762113742665,16
1762113742665,16
1762113742665,10
1762113742665,27
1762113742741,29
1762113742741,31
1762113742741,18
1762113742741,21
1762113742783,32
1762113742783,47
1762113742783,44
1762113742783,34
1762113742821,27
1762113742821,6
1762113742821,16
1762113742821,21
1762113742878,30
1762113742878,34
1762113742878,45
1762113742878,37
1762113742957,25
1762113742957,19
1762113742957,17
1762113742957,40
1762113743001,35
1762113743001,36
1762113743001,32
1762113743001,21
1762113743042,16
1762113743042,38
1762113743042,46
1762113743042,35
1762113743084,37
1762113743084,43
1762113743084,34
1762113743084,38
1762113743140,45
1762113743140,74
1762113743140,61
1762113743140,56
1762113743177,43
1762113743177,47
1762113743177,80
1762113743177,74
1762113743256,53
1762113743256,38
1762113743256,30
1762113743256,27
1762113743312,58
1762113743312,51
1762113743312,45
1762113743312,35
1762113743407,32
1762113743407,42
1762113743407,83
1762113743407,80
1762113743444,68
1762113743444,74
1762113743444,64
1762113743444,48
1762113743493,59
1762113743493,50
1762113743493,53
1762113743493,46
1762113743540,48
1762113743540,48
1762113743540,22
1762113743540,40
1762113743583,34
1762113743583,33
1762113743583,40
1762113743583,23
1762113743638,23
1762113743638,38
1762113743638,40
1762113743638,29
1762113743678,43
1762113743678,49
1762113743678,52
1762113743678,42
1762113743719,49
1762113743719,57
1762113743719,55
1762113743719,64
1762113743768,59
1762113743768,60
1762113743768,48
1762113743768,62
1762113743804,55
1762113743804,64
1762113743804,75
1762113743804,57
1762113743851,64
1762113743851,58
1762113743851,64
1762113743851,62
1762113743893,50
1762113743893,38
1762113743893,46
1762113743893,62
1762113743945,61
1762113743945,48
1762113743945,64
1762113743945,43
1762113743998,41
1762113743998,53
1762113743998,78
1762113743998,82
1762113744060,42
1762113744060,37
1762113744060,64
1762113744060,55
1762113744096,56
1762113744096,109
1762113744096,123
1762113744096,119
1762113744148,100
1762113744148,108
1762113744148,128
1762113744148,122
1762113744189,108
1762113744189,91
1762113744189,100
1762113744189,73
1762113744231,68
1762113744231,64
1762113744231,53
1762113744231,65
1762113744276,68
1762113744276,58
1762113744276,55
1762113744276,72
1762113744323,54
1762113744323,59
1762113744323,46
1762113744323,56
1762113744375,37
1762113744375,47
1762113744375,69
1762113744375,44
1762113744450,48
1762113744450,48
1762113744450,52
1762113744450,37
1762113744506,58
1762113744506,58
1762113744506,49
1762113744506,37
1762113744552,34
1762113744552,34
1762113744552,59
1762113744552,70
1762113744611,83
1762113744611,51
1762113744611,37
1762113744611,35
1762113744661,36
1762113744661,48
1762113744661,46
1762113744661,45
1762113744723,32
1762113744723,29
1762113744723,21
1762113744723,12
1762113744767,23
1762113744767,34
1762113744767,42
1762113744767,80
1762113744824,57
1762113744824,44
1762113744824,37
1762113744824,37
1762113744876,54
1762113744876,55
1762113744876,64
1762113744876,65
1762113744920,55
1762113744920,35
1762113744920,35
1762113744920,49
1762113744975,50
1762113744975,45
1762113744975,43
1762113744975,33
1762113745018,48
1762113745018,42
1762113745018,38
1762113745018,36
1762113745062,21
1762113745062,31
1762113745062,43
1762113745062,64
1762113745099,72
1762113745099,53
1762113745099,45
1762113745099,44
1762113745145,61
1762113745145,50
1762113745145,45
1762113745145,48
1762113745192,46
1762113745192,24
1762113745192,32
1762113745192,34
1762113745274,35
1762113745274,49
1762113745274,45
1762113745274,45
1762113745341,42
1762113745341,48
1762113745341,41
1762113745341,47
1762113745380,34
1762113745380,31
1762113745380,48
1762113745380,57
1762113745423,49
1762113745423,47
1762113745423,35
1762113745423,30
1762113745490,28
1762113745490,37
1762113745490,51
1762113745490,54
1762113745530,60
1762113745530,79
1762113745530,64
1762113745530,62
1762113745599,64
1762113745599,48
1762113745599,44
1762113745599,48
1762113745640,40
1762113745640,55
1762113745640,59
1762113745640,51
1762113745684,48
1762113745684,48
1762113745684,39
1762113745684,28
1762113745756,64
1762113745756,55
1762113745756,62
1762113745756,62
1762113745984,71
1762113745984,47
1762113745984,41
1762113745984,40
1762113746037,48
1762113746037,26
1762113746037,33
1762113746037,39
1762113746105,48
1762113746105,53
1762113746105,65
1762113746105,54
1762113746175,64
1762113746175,45
1762113746175,32
1762113746175,38
1762113746216,38
1762113746216,29
1762113746216,39
1762113746216,33
1762113746267,23
1762113746267,19
1762113746267,15
1762113746267,42
1762113746315,34
1762113746315,32
1762113746315,43
1762113746315,55
1762113747732,22
1762113747732,35
1762113747732,50
1762113747732,52
1762113747784,36
1762113747784,50
1762113747784,29
1762113747784,39
1762113747826,30
1762113747826,48
1762113747826,48
1762113747826,55
1762113747869,61
1762113747869,43
1762113747869,42
1762113747869,32
1762113747912,41
1762113747912,40
1762113747912,48
1762113747912,45
1762113747956,34
1762113747956,23
1762113747956,37
1762113747956,48
1762113748002,45
1762113748002,37
1762113748002,46
1762113748002,43
1762113748043,38
