time_ms,emg_value
1762982726629,64.0
1762982726630,64.0
1762982726631,108.0
1762982726632,127.0
1762982726633,113.0
1762982726634,37.0
1762982726635,57.0
1762982726636,48.0
1762982726637,44.0
1762982726638,48.0
1762982726639,47.0
1762982726640,25.0
1762982726641,16.0
1762982726642,16.0
1762982726643,6.0
1762982726644,0.0
1762982726645,0.0
1762982726646,0.0
1762982726647,6.0
1762982726648,3.0
1762982726649,0.0
1762982726650,0.0
1762982726651,4.0
1762982726652,1.0
1762982726653,2.0
1762982726654,0.0
1762982726655,0.0
1762982726656,0.0
1762982726657,0.0
1762982726658,2.0
1762982726659,1.0
1762982726660,0.0
1762982726661,2.0
1762982726662,0.0
1762982726663,0.0
1762982726664,1.0
1762982726665,5.0
1762982726666,2.0
1762982726667,0.0
1762982726668,2.0
1762982726669,0.0
1762982726670,6.0
1762982726671,0.0
1762982726672,1.0
1762982726673,13.0
1762982726674,1.0
1762982726675,1.0
1762982726676,2.0
1762982726677,5.0
1762982726678,8.0
1762982726679,0.0
1762982726680,9.0
1762982726681,5.0
1762982726682,0.0
1762982726683,1.0
1762982726684,5.0
1762982726685,5.0
1762982726686,6.0
1762982726687,2.0
1762982726688,5.0
1762982726689,0.0
1762982726690,3.0
1762982726691,2.0
1762982726692,3.0
1762982726693,0.0
1762982726694,1.0
1762982726695,0.0
1762982726696,6.0
1762982726697,1.0
1762982726698,5.0
1762982726699,0.0
1762982726700,3.0
1762982726701,5.0
1762982726702,13.0
1762982726703,4.0
1762982726704,6.0
1762982726705,1.0
1762982726706,0.0
1762982726707,2.0
1762982726708,1.0
1762982726709,0.0
1762982726710,6.0
1762982726711,1.0
1762982726712,2.0
1762982726713,6.0
1762982726714,10.0
1762982726715,0.0
1762982726716,1.0
1762982726717,3.0
1762982726718,0.0
1762982726719,1.0
1762982726720,5.0
1762982726721,10.0
1762982726722,10.0
1762982726723,7.0
1762982726724,0.0
1762982726725,6.0
1762982726726,5.0
1762982726727,0.0
1762982726728,7.0
1762982726729,0.0
1762982726730,4.0
1762982726731,1.0
1762982726732,4.0
1762982726733,2.0
1762982726734,0.0
1762982726735,1.0
1762982726736,9.0
1762982726737,1.0
1762982726738,1.0
1762982726739,0.0
1762982726740,2.0
1762982726741,0.0
1762982726742,6.0
1762982726743,3.0
1762982726744,6.0
1762982726745,0.0
1762982726746,2.0
1762982726747,4.0
1762982726748,1.0
1762982726749,0.0
1762982726750,3.0
1762982726751,2.0
1762982726752,0.0
1762982726753,0.0
1762982726754,0.0
1762982726755,0.0
1762982726756,6.0
1762982726757,4.0
1762982726758,4.0
1762982726759,0.0
1762982726760,2.0
1762982726761,5.0
1762982726762,1.0
1762982726763,0.0
1762982726764,3.0
1762982726765,6.0
1762982726766,0.0
1762982726767,4.0
1762982726768,0.0
1762982726769,6.0
1762982726770,0.0
1762982726771,4.0
1762982726772,0.0
1762982726773,1.0
1762982726774,2.0
1762982726775,2.0
1762982726776,1.0
1762982726777,5.0
1762982726778,1.0
1762982726779,3.0
1762982726780,1.0
1762982726781,4.0
1762982726782,4.0
1762982726783,7.0
1762982726784,9.0
1762982726785,5.0
1762982726786,6.0
1762982726787,4.0
1762982726788,0.0
1762982726789,0.0
