time_ms,emg_value
1763141321821,12.0
1763141321822,0.0
1763141321823,5.0
1763141321824,11.0
1763141321825,7.0
1763141321826,2.0
1763141321827,0.0
1763141321828,11.0
1763141321829,11.0
1763141321830,9.0
1763141321831,0.0
1763141321832,7.0
1763141321833,6.0
1763141321834,0.0
1763141321835,15.0
1763141321836,11.0
1763141321837,2.0
1763141321838,0.0
1763141321839,10.0
1763141321840,6.0
1763141321841,0.0
1763141321842,0.0
1763141321843,0.0
1763141321844,0.0
1763141321845,0.0
1763141321846,0.0
1763141321847,0.0
1763141321848,12.0
1763141321849,14.0
1763141321850,10.0
1763141321851,0.0
1763141321852,0.0
1763141321853,0.0
1763141321854,14.0
1763141321855,6.0
1763141321856,5.0
1763141321857,1.0
1763141321858,0.0
1763141321859,6.0
1763141321860,0.0
1763141321861,0.0
1763141321862,11.0
1763141321863,0.0
1763141321864,0.0
1763141321865,0.0
1763141321866,4.0
1763141321867,0.0
1763141321868,0.0
1763141321869,0.0
1763141321870,0.0
1763141321871,4.0
1763141321872,0.0
1763141321873,0.0
1763141321874,7.0
1763141321875,11.0
1763141321876,2.0
1763141321877,1.0
1763141321878,7.0
1763141321879,10.0
1763141321880,11.0
1763141321881,6.0
1763141321882,0.0
1763141321883,0.0
1763141321884,0.0
1763141321885,12.0
1763141321886,0.0
1763141321887,0.0
1763141321888,5.0
1763141321889,6.0
1763141321890,4.0
1763141321891,0.0
1763141321892,9.0
1763141321893,5.0
1763141321894,0.0
1763141321895,1.0
1763141321896,0.0
1763141321897,0.0
1763141321898,8.0
1763141321899,0.0
1763141321900,0.0
1763141321901,4.0
1763141321902,2.0
1763141321903,5.0
1763141321904,0.0
1763141321905,0.0
1763141321906,1.0
1763141321907,6.0
1763141321908,12.0
1763141321909,0.0
1763141321910,0.0
1763141321911,3.0
1763141321912,0.0
1763141321913,6.0
1763141321914,14.0
1763141321915,16.0
1763141321916,9.0
1763141321917,0.0
1763141321918,8.0
1763141321919,0.0
1763141321920,0.0
1763141321921,0.0
1763141321922,3.0
1763141321923,7.0
1763141321924,0.0
1763141321925,11.0
1763141321926,0.0
1763141321927,0.0
1763141321928,15.0
1763141321929,0.0
1763141321930,3.0
1763141321931,0.0
1763141321932,10.0
1763141321933,0.0
1763141321934,5.0
1763141321935,0.0
1763141321936,5.0
1763141321937,0.0
1763141321938,0.0
1763141321939,0.0
1763141321940,1.0
1763141321941,9.0
1763141321942,0.0
1763141321943,6.0
1763141321944,0.0
1763141321945,0.0
1763141321946,10.0
1763141321947,9.0
1763141321948,8.0
1763141321949,0.0
1763141321950,0.0
1763141321951,7.0
1763141321952,0.0
1763141321953,2.0
1763141321954,0.0
1763141321955,1.0
1763141321956,0.0
1763141321957,0.0
1763141321958,0.0
1763141321959,7.0
1763141321960,14.0
1763141321961,9.0
1763141321962,0.0
1763141321963,8.0
1763141321964,7.0
1763141321965,0.0
1763141321966,7.0
1763141321967,0.0
1763141321968,15.0
1763141321969,0.0
1763141321970,4.0
1763141321971,4.0
1763141321972,2.0
1763141321973,0.0
1763141321974,0.0
1763141321975,2.0
1763141321976,0.0
1763141321977,0.0
1763141321978,0.0
1763141321979,0.0
1763141321980,0.0
1763141321981,0.0
1763141321982,0.0
1763141321983,0.0
1763141321984,0.0
1763141321985,0.0
1763141321986,5.0
1763141321987,0.0
1763141321988,0.0
1763141321989,2.0
1763141321990,0.0
1763141321991,13.0
1763141321992,0.0
1763141321993,0.0
1763141321994,0.0
1763141321995,5.0
1763141321996,6.0
